ID,DDT_R2,DDT_logK
DNS0001,97.5483501,-2.610576135
DNS0002,92.99824988,-2.186485084
DNS0003,94.47827232,-2.343290461
DNS0004,96.26035202,-2.935590955
DNS0005,98.21965043,-1.81313854
DNS0006,99.31328656,-1.661673007
DNS0007,81.16616125,-2.692654372
DNS0008,97.04022599,-2.378486414
DNS0009,90.37258209,-2.358905647
DNS0010,97.82751873,-2.369367404
DNS0011,93.05425627,-2.429038968
DNS0012,71.97792932,-3.53944706
DNS0013,98.45018915,-1.798998357
DNS0014,88.33346286,-2.172441249
DNS0015,79.18712993,-1.947185667
DNS0016,92.51006636,-1.942267606
DNS0017,88.95129617,-2.026542673
DNS0018,96.05550486,-1.801989972
DNS0019,98.19100555,-1.382794765
DNS0020,98.11617356,-2.621975708
DNS0021,75.09635615,-3.061637442
DNS0022,77.9266883,-3.35578617
DNS0023,63.84846432,-3.262183307
DNS0024,88.2905078,-2.396038801
DNS0026,77.92668829,-3.35578617
DNS0027,73.92495326,-3.395519484
DNS0028,98.04634867,-2.579263503
DNS0029,81.51945561,-3.571726476
DNS0030,89.09322689,-1.794145624
DNS0031,67.32326057,-3.152456295
DNS0032,97.71541751,-3.41050277
DNS0034,94.28444615,-1.738988249
DNS0035,94.72760089,-1.223072705
DNS0036,35.02193598,-3.619823736
DNS0037,92.01742856,-2.439551004
DNS0038,95.24083516,-2.673863181
DNS0039,95.40914642,-0.960808918
DNS0040,88.68566484,-2.568282363
DNS0042,78.43980256,-3.939139489
DNS0043,77.06690161,-3.049509626
DNS0044,94.34184559,-2.717297862
DNS0045,89.86878937,-0.417490534
DNS0046,79.4619239,-1.242573123
DNS0047,85.96055095,-2.355614042
DNS0048,93.64247322,-3.0434818
DNS0049,91.32738502,-2.428906842
DNS0050,50.60625975,-1.804139315
DNS0051,91.85548155,-1.412994536
DNS0052,71.75200269,-2.441344735
DNS0053,94.96792933,-1.559510667
DNS0054,62.49592084,-2.968440028
DNS0055,76.02041831,-0.798365504
DNS0056,98.20684987,-2.146985133
DNS0057,97.45318445,-1.831190985
DNS0058,78.35216403,-1.708584394
DNS0059,86.55570145,-2.596266005
DNS0060,98.36185963,-3.190546446
DNS0061,71.03473692,-2.824946366
DNS0062,93.32176975,-1.586122968
DNS0063,95.47040794,-2.012787403
DNS0064,97.57532919,-2.262346396
DNS0065,86.45559045,-4.097306787
DNS0066,98.75501413,-1.458284342
DNS0068,81.73305388,-2.117253591
DNS0069,99.69384706,-1.647449893
DNS0070,74.52397401,-2.607075159
DNS0071,92.63737607,-2.201476206
DNS0072,85.59561418,-2.930011238
DNS0073,94.52242054,-1.474271197
DNS0074,86.45559023,-4.097306793
DNS0075,92.56600203,-1.62032975
DNS0076,92.60556198,-3.135053203
DNS0077,98.69241233,-1.93173595
DNS0078,95.54936321,-1.70442349
DNS0080,82.53091002,-2.590318498
DNS0081,76.81077549,-3.400494915
DNS0082,95.59440135,-1.925147399
DNS0083,98.97890987,-3.393083419
DNS0084,90.73794419,-3.400303435
DNS0085,76.59987295,-3.313390736
DNS0086,88.01243231,-3.061973318
DNS0088,94.42663472,-1.881469731
DNS0089,90.02512851,-2.222143681
DNS0090,97.27049284,-2.321187333
DNS0091,84.29242335,-3.335618548
DNS0092,97.45462356,-1.662603482
DNS0094,94.09219049,-2.514851712
DNS0095,97.06765445,-2.076656945
DNS0096,84.83663007,-2.779208322
DNS0097,93.66574388,-1.684439072
DNS0098,96.09257508,-1.525213413
DNS0099,92.27722294,-2.688738869
DNS0100,84.58471719,-1.281551014
DNS0101,90.83958198,-1.150683437
DNS0102,82.94156074,-2.415768883
DNS0103,93.95646456,-2.126879449
DNS0104,97.68607648,-0.767974374
DNS0105,99.44262275,-1.858050341
DNS0106,95.26703897,-1.756885001
DNS0107,50,-4.729691798
DNS0110,98.07350297,-1.828979232
DNS0111,62.29150706,-3.282172519
DNS0113,92.16475525,-3.188330878
DNS0114,98.0652296,-2.675367908
DNS0116,95.5751863,-2.472690593
DNS0117,72.86756509,-4.033283349
DNS0118,81.31691524,-1.41102185
DNS0120,69.91721429,-2.498818499
DNS0122,91.64167126,-1.642832535
DNS0123,87.36201078,-2.552355745
DNS0125,95.77576802,-2.402928147
DNS0126,98.25263154,-2.159926997
DNS0127,89.65781356,-2.056002956
DNS0128,92.67111246,-3.54075907
DNS0130,61.32287694,-3.806092388
DNS0132,70.17363321,-1.773342899
DNS0133,75.30941679,-2.272708852
DNS0134,83.28811522,-3.722500254
DNS0135,92.55277675,-3.166993624
DNS0136,89.44916142,-0.367361455
DNS0142,55.70420515,-3.750022714
DNS0144,94.45854752,-2.4022815
DNS0145,88.94688065,-2.204474007
DNS0146,97.03463145,-3.42382458
DNS0147,50.36784698,-3.529642284
DNS0150,79.93345441,-2.747629984
DNS0151,90.8535527,-1.84307496
DNS0152,90.83790931,-2.544602232
DNS0153,91.80664531,-3.765103366
DNS0154,50.84467922,-4.001777312
DNS0155,91.97626373,-2.350297971
DNS0156,84.1047594,-3.188322802
DNS0157,87.06474755,-2.882937372
DNS0158,94.26460738,-2.314221893
DNS0160,80.87705094,-3.438073993
DNS0162,97.25912815,-2.546643296
DNS0163,75.8941521,-3.061375428
DNS0164,97.42282013,-2.205184156
DNS0166,66.68846816,-3.327332739
DNS0167,83.39338904,-2.889540519
DNS0168,98.74207359,-3.327723869
DNS0170,55.30139885,-4.005471678
DNS0171,98.27236323,-2.136253678
DNS0172,83.78883104,-2.74798113
DNS0173,97.5993477,-3.200328672
DNS0174,85.00115783,-2.799627244
DNS0175,59.65758485,-3.454620085
DNS0176,41.80848163,-4.607167046
DNS0177,84.67823076,-2.261094923
DNS0178,94.52302214,-1.404417744
DNS0180,97.55058752,-3.591447363
DNS0182,96.65561887,-1.687349718
DNS0183,75.20892724,-3.014974936
DNS0184,88.35553069,-1.726670812
DNS0185,58.21723198,-3.158841901
DNS0187,86.45559044,-4.097306787
DNS0188,86.0386048,-1.898656191
DNS0189,82.26058482,-1.502177163
DNS0191,94.65774736,-2.206951173
DNS0192,98.34578273,-1.977995103
DNS0194,98.34026673,-2.078286021
DNS0195,96.08637185,-1.759570979
DNS0196,48.76462457,-2.317021975
DNS0197,75.49360641,-0.622766991
DNS0198,49.42598481,-3.937411656
DNS0200,84.22080383,-2.980949259
DNS0201,97.50313187,-2.124362822
DNS0202,92.68420838,-3.057552026
DNS0203,44.60351802,0.200299935
DNS0205,50,-4.729691785
DNS0206,55.84493138,-3.583004195
DNS0207,91.09769309,-2.390875632
DNS0208,95.58225378,-1.387652065
DNS0210,95.71968941,-3.199311667
DNS0211,99.1796608,-1.62680396
DNS0212,99.12060297,-2.217226472
DNS0213,83.64563751,-1.943480974
DNS0214,80.96671552,-2.916855094
DNS0215,94.7351274,-2.265373547
DNS0216,92.72752239,-2.993397651
DNS0218,95.95855377,-2.622160592
DNS0219,79.96832241,-2.725570758
DNS0220,99.11290129,-2.024117446
DNS0221,83.98379101,-2.891829711
DNS0222,95.77421251,-2.27017917
DNS0223,72.16415027,-3.435818111
DNS0224,92.69098299,-3.315812126
DNS0225,90.60381114,-2.921324106
DNS0226,69.61575334,-1.945293105
DNS0227,99.00048539,-0.802332413
DNS0229,39.07784684,-4.635616156
DNS0230,78.67796599,-2.417813724
DNS0231,87.44192172,-2.724589911
DNS0233,94.11488295,-2.518956696
DNS0234,96.64047936,-1.823378161
DNS0235,90.03011763,-2.266754982
DNS0236,93.58452605,-1.837398895
DNS0237,98.37553778,-3.180978122
DNS0238,77.30741317,-3.84775549
DNS0240,47.70567999,-4.266481191
DNS0242,92.67006729,-1.454094082
DNS0243,80.85857863,-2.147494721
DNS0245,74.14019695,-3.577746759
DNS0246,95.341016,-3.782488921
